2026-08-17 13:35:43,500 INFO    MainThread:4004 [wandb_setup.py:_flush():81] Current SDK version is 0.28.2
2026-08-17 13:35:43,501 INFO    MainThread:4004 [wandb_setup.py:_flush():81] Configure stats pid to 4004
2026-08-17 13:35:43,501 INFO    MainThread:4004 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-08-17 13:35:43,501 INFO    MainThread:4004 [wandb_init.py:setup_run_log_directory():739] Logging user logs to /Users/dayallenragunathan/CodingProjects/RAG/wandb/run-20260817_133543-9lhzs4pt/logs/debug.log
2026-08-17 13:35:43,501 INFO    MainThread:4004 [wandb_init.py:setup_run_log_directory():740] Logging internal logs to /Users/dayallenragunathan/CodingProjects/RAG/wandb/run-20260817_133543-9lhzs4pt/logs/debug-internal.log
2026-08-17 13:35:43,501 INFO    MainThread:4004 [wandb_init.py:init():783] calling init triggers
2026-08-17 13:35:43,501 INFO    MainThread:4004 [wandb_init.py:init():788] wandb.init called with sweep_config: {}
config: {'generation_model': 'qwen3:8b', 'judge_model': 'gemini-flash-latest', 'independent_judge': True, 'judged': 0, '_wandb': {}}
2026-08-17 13:35:43,501 INFO    MainThread:4004 [wandb_init.py:init():831] starting backend
2026-08-17 13:35:43,501 INFO    MainThread:4004 [wandb_init.py:init():846] sending inform_init request
2026-08-17 13:35:43,624 INFO    MainThread:4004 [wandb_init.py:init():851] backend started and connected
2026-08-17 13:35:43,628 INFO    MainThread:4004 [wandb_init.py:init():921] updated telemetry
2026-08-17 13:35:43,665 INFO    MainThread:4004 [wandb_init.py:init():944] communicating run to backend with 90.0 second timeout
2026-08-17 13:35:44,179 INFO    MainThread:4004 [wandb_init.py:init():981] starting run threads in backend
2026-08-17 13:35:44,286 INFO    MainThread:4004 [wandb_run.py:_console_start():2626] atexit reg
2026-08-17 13:35:44,286 INFO    MainThread:4004 [wandb_run.py:_redirect():2476] redirect: wrap_raw
2026-08-17 13:35:44,286 INFO    MainThread:4004 [wandb_run.py:_redirect():2545] Wrapping output streams.
2026-08-17 13:35:44,286 INFO    MainThread:4004 [wandb_run.py:_redirect():2568] Redirects installed.
2026-08-17 13:35:44,288 INFO    MainThread:4004 [wandb_init.py:init():1019] run started, returning control to user process
2026-08-17 13:35:44,289 INFO    MainThread:4004 [wandb_run.py:_finish():2397] finishing run dayallenr30-university-of-california/duediligence-rag/9lhzs4pt
2026-08-17 13:35:44,289 INFO    MainThread:4004 [wandb_run.py:_atexit_cleanup():2593] got exitcode: 0
2026-08-17 13:35:44,289 INFO    MainThread:4004 [wandb_run.py:_restore():2575] restore
2026-08-17 13:35:44,289 INFO    MainThread:4004 [wandb_run.py:_restore():2581] restore done
2026-08-17 13:35:45,106 INFO    MainThread:4004 [wandb_run.py:_footer_sync_info():4025] logging synced files
